"idgames","user_score","global_sales"
7195,3.5,0.11
7384,3.5,0.1
7390,3.5,0.1
7475,3.5,0.1
7528,3.5,0.09
8078,3.5,0.07
8545,3.5,0.06
8572,3.5,0.06
8715,3.5,0.05
9268,3.5,0.04
9580,3.5,0.03
1715,3.6,1.01
2542,3.6,0.63
2636,3.6,0.6
2663,3.6,0.6
3040,3.6,0.51
3162,3.6,0.49
3436,3.6,0.43
4272,3.6,0.31
4280,3.6,0.31
4462,3.6,0.29
4603,3.6,0.27
4791,3.6,0.26
6153,3.6,0.16
7043,3.6,0.11
7647,3.6,0.09
8612,3.6,0.06
8653,3.6,0.05
8738,3.6,0.05
9888,3.6,0.02
9981,3.6,0.02
323,3.7,3.83
2708,3.7,0.58
3003,3.7,0.52
3289,3.7,0.46
4136,3.7,0.33
4448,3.7,0.29
4479,3.7,0.29
4646,3.7,0.27
4807,3.7,0.25
5444,3.7,0.2
5874,3.7,0.17
6061,3.7,0.16
6581,3.7,0.13
6674,3.7,0.13
6939,3.7,0.12
7868,3.7,0.08
8273,3.7,0.07
9674,3.7,0.02
9850,3.7,0.02
2155,3.8,0.77
2762,3.8,0.57
3845,3.8,0.37
3958,3.8,0.35
4278,3.8,0.31
4332,3.8,0.3
4850,3.8,0.25
5293,3.8,0.21
5947,3.8,0.17
6006,3.8,0.17
6506,3.8,0.14
6602,3.8,0.13
6738,3.8,0.13
6960,3.8,0.12
7083,3.8,0.11
7181,3.8,0.11
7549,3.8,0.09
7567,3.8,0.09
8094,3.8,0.07
8143,3.8,0.07
8167,3.8,0.07
8750,3.8,0.05
8870,3.8,0.05
8936,3.8,0.05
9082,3.8,0.04
9146,3.8,0.04
9185,3.8,0.04
10329,3.8,0.01
458,3.9,3.05
2967,3.9,0.53
3004,3.9,0.52
3753,3.9,0.38
3825,3.9,0.37
4568,3.9,0.28
5002,3.9,0.24
6177,3.9,0.15
6694,3.9,0.13
7045,3.9,0.11
8941,3.9,0.05
9678,3.9,0.02
9788,3.9,0.02
192,4.0,5.14
324,4.0,3.83
2315,4.0,0.71
2502,4.0,0.64
2541,4.0,0.63
2985,4.0,0.52
3406,4.0,0.44
4976,4.0,0.24
4979,4.0,0.24
5265,4.0,0.21
5312,4.0,0.21
5523,4.0,0.2
5875,4.0,0.17
6569,4.0,0.13
6839,4.0,0.12
7285,4.0,0.1
8415,4.0,0.06
8507,4.0,0.06
9112,4.0,0.04
9210,4.0,0.04
9312,4.0,0.03
9337,4.0,0.03
9719,4.0,0.02
9963,4.0,0.02
10024,4.0,0.02
10041,4.0,0.02
10078,4.0,0.02
373,4.1,3.5
864,4.1,1.97
927,4.1,1.87
1505,4.1,1.16
1807,4.1,0.95
1942,4.1,0.89
3204,4.1,0.48
3305,4.1,0.46
3403,4.1,0.44
3584,4.1,0.41
3819,4.1,0.37
3997,4.1,0.35
4324,4.1,0.3
4491,4.1,0.28
5148,4.1,0.23
5347,4.1,0.21
5647,4.1,0.19
6041,4.1,0.16
6447,4.1,0.14
6474,4.1,0.14
6485,4.1,0.14
7072,4.1,0.11
7112,4.1,0.11
7261,4.1,0.1
7383,4.1,0.1
7500,4.1,0.09
8120,4.1,0.07
8315,4.1,0.07
8580,4.1,0.06
8769,4.1,0.05
8792,4.1,0.05
9923,4.1,0.02
9949,4.1,0.02
271,4.2,4.22
494,4.2,2.92
1108,4.2,1.6
1159,4.2,1.53
1945,4.2,0.88
2280,4.2,0.72
2999,4.2,0.52
3239,4.2,0.47
3859,4.2,0.37
4492,4.2,0.28
4953,4.2,0.24
5335,4.2,0.21
5563,4.2,0.19
5687,4.2,0.19
6005,4.2,0.17
6272,4.2,0.15
6611,4.2,0.13
6964,4.2,0.12
7054,4.2,0.11
7351,4.2,0.1
7450,4.2,0.1
7881,4.2,0.08
8031,4.2,0.08
8152,4.2,0.07
8387,4.2,0.06
9507,4.2,0.03
9701,4.2,0.02
9919,4.2,0.02
77,4.3,8.57
126,4.3,6.47
493,4.3,2.92
622,4.3,2.48
1302,4.3,1.35
1786,4.3,0.96
2054,4.3,0.83
2067,4.3,0.82
2589,4.3,0.61
2591,4.3,0.61
2839,4.3,0.56
3232,4.3,0.47
3649,4.3,0.4
3763,4.3,0.38
3822,4.3,0.37
4025,4.3,0.34
4639,4.3,0.27
5025,4.3,0.24
5134,4.3,0.23
5209,4.3,0.22
5527,4.3,0.19
5633,4.3,0.19
5744,4.3,0.18
5975,4.3,0.17
6835,4.3,0.12
7578,4.3,0.09
7969,4.3,0.08
8082,4.3,0.07
8540,4.3,0.06
9024,4.3,0.04
9050,4.3,0.04
9522,4.3,0.03
9740,4.3,0.02
9777,4.3,0.02
9975,4.3,0.02
10101,4.3,0.02
10232,4.3,0.01
417,4.4,3.25
914,4.4,1.88
1588,4.4,1.09
1676,4.4,1.04
2042,4.4,0.83
2090,4.4,0.81
2369,4.4,0.69
3157,4.4,0.49
3213,4.4,0.47
3483,4.4,0.42
3484,4.4,0.42
3553,4.4,0.41
3593,4.4,0.41
3975,4.4,0.35
4382,4.4,0.3
4910,4.4,0.25
5441,4.4,0.2
