,publisher
335,10TACLE Studios
336,Visco
337,Crimson Cow
338,Arika
339,Lighthouse Interactive
340,Aerosoft
341,"Interworks Unlimited, Inc."
342,Blue Byte
343,Inti Creates
344,Nitroplus
345,Paradox Development
346,Mentor Interactive
347,Microprose
