,developer
1218,Gameinvest
1219,Vanguard
1220,Koolhaus Games
1221,Idea Factory
1222,KING Art
1223,"Deep Silver, Keen Games"
1224,Microids
1225,Koei/Inis
1226,"Seamless Entertainment, Inc."
1227,Petroglyph
1228,"Joindots, Mastertronic"
1229,Arts Software
1230,Raylight Studios
1231,"Monolith Soft, Namco Bandai Games"
1232,Digital Mayhem
1233,Pronto Games
1234,"RED Entertainment, Compile Heart"
1235,Global A
1236,Clockwork Games
1237,The Behemoth
1238,Hoplite Research
1239,Ivolgamus
1240,Doki Denki
1241,"THQ, AWE Games"
1242,Starsphere Interactive
1243,Other Ocean Interactive
1244,Kadokawa
1245,Milestone
1246,Loose Cannon Studios
1247,Scientifically Proven
1248,8Monkey Labs
1249,"Crave, DTP Entertainment"
1250,odenis studio
1251,Realmforge Studios
1252,Freedom Factory Studios
1253,Atomic Motion
1254,Sarbakan Inc.
1255,Black Ship Games
1256,Gravity-I
1257,"Entersphere, Inc."
1258,Infinite Machine
1259,Deadline Games
1260,Silicon Dreams
1261,Aqua Pacific
1262,ProSoft
1263,Isopod Labs
1264,"Activision, Activision Blizzard"
1265,"SCE/WWS, SCE Japan Studio"
1266,"Mastertronic, V5 Play Studio"
1267,"Spark Unlimited, comcept"
1268,"Ambrella, The Pokemon Company"
1269,"Neverland, Idea Factory"
1270,Hit Maker
1271,"Red Tribe, Brash Entertainment"
1272,Metro3D
1273,Blue Omega
1274,Zushi Games Ltd
1275,2K Play
1276,Housemarque
1277,"EA Canada, Exient Entertainment"
1278,"Activision, Traveller's Tales"
1279,O-Games
1280,"Jack of All Games, eV Interactive"
1281,S-Neo
1282,G1M2
1283,"TimeGate Studios, Day 1 Studios"
1284,iRock Interactive
1285,Climax Studios
1286,Little Orbit
1287,Tabot
1288,Indi
1289,ECI
1290,SilverBirch Studios
1291,Valcon Games
1292,Gulti
1293,Tectonic Studios
1294,"EA Canada, Sensory Sweep"
1295,Wide Games
1296,Amedio
1297,NATSUME ATARI Inc.
1298,Digital Leisure Inc.
1299,Noise Factory
1300,Mobile 21
1301,Maximum Family Games
1302,Foundation 9 Entertainment
1303,B-Alive
1304,Icon Games
1305,Kando Games
1306,DTP Entertainment
1307,Telenet
1308,Osaka Studio
1309,Kheops Studio
1310,"Namco Bandai Games, Monkey Bar Games"
1311,UGA
1312,Toka
1313,Egosoft
1314,Mid Carolina Media
1315,Velez & Dubail
1316,"THQ, Independent Arts"
1317,Mekensleep
1318,"Milestone, Milestone S.r.l"
1319,Wicked Studios
1320,Revistronic
1321,MileStone Inc.
1322,Metropolis Software
1323,Anchor Bay Entertainment
1324,"Spike Chunsoft, Chime"
1325,Pinegrow
1326,Ubisoft Barcelona
1327,Roxor Games
1328,Success
1329,Fatshark AB
1330,Runic Games
1331,Neopica
1332,Trine Games
1333,SpiderMonk
1334,Koei Canada
1335,Paradox Development Studio
1336,Direct Action Games
1337,5000ft
1338,Awesome Play Ltd.
1339,"Art Co., Ltd."
1340,StudioBlack Games
1341,exozet
1342,Yoostar Entertainment Group
1343,Vogster
1344,Skonec
1345,ZeptoLab
1346,G-Artists
1347,Idol FX
1348,Goshow
1349,Leviathan Games
1350,Box Clever Interactive
1351,Attractive Games
1352,Sabertooth Games
1353,"Ubisoft, FunHouse"
1354,Enterbrain
1355,Universomo
1356,Global Star Software
1357,"Metanet Software Inc., SilverBirch Studios"
1358,Purple Hills
1359,Interactive Brains
1360,Doublesix
1361,Synetic
1362,Jupiter Multimedia
1363,Epicenter Interactive
1364,Interplay
1365,Monte Cristo Multimedia
1366,Plato
1367,Silver Wish Games
1368,Runtime
1369,Gammick Entertainment
1370,DiP Interactive
1371,Klein Computer Entertainment
1372,"IronNos Co.,Ltd."
1373,DreamRift
1374,Snapdragon
1375,Brainbox Games
1376,Kunos Simulazioni
1377,MBA International
1378,"505 Games, Sarbakan Inc."
1379,Nikitova Games
1380,Extra Mile Studios
1381,Nitro+
1382,"Humongous Entertainment, Mistic Software"
1383,Mystic Software
1384,Sonic Powered
1385,Whitebear
1386,EA Japan Studio
1387,Headfirst Productions
1388,Pendulo Studios
1389,Mikoishi
1390,Conspiracy Entertainment
1391,"10tacle Studios, Fusionsphere Systems"
1392,Arkedo Studio
1393,Farmind Ltd
1394,GSC Game World
1395,Midas Interactive Entertainment
1396,BattleBorne
1397,Valhalla Game Studios
1398,Quicksilver Software
1399,"Treyarch, Infinity Ward"
1400,"Orbital Media, Inc."
1401,"Left Field Productions, Zoo Games"
1402,Anino Entertainment
1403,SingleTrac
1404,"Rebellion, Neversoft Entertainment"
1405,Design Factory
1406,Andamiro U.S.A. Corp.
1407,KnowWonder
1408,Zoonami Ltd.
1409,Cave Barn
1410,Radius9
1411,Zig Zag
1412,"Eutechnyx, Deep Silver"
1413,Iron Lore Entertainment
1414,Ninja Studio
1415,Slitherine
1416,Fluid Studios
1417,Codo Games
1418,Red Wagon Games
1419,CI Games
1420,Cowboy Rodeo
1421,Cranberry Production
1422,Playrix Entertainment
1423,LDW
1424,Imagineer
1425,Rising Star Games
1426,1C: Maddox Games
1427,Fresh 3D
1428,Studio Archcraft
1429,"THQ, 1C, 1C Company"
1430,Just For Fun
1431,"Eidos Interactive, Tantalus Interactive"
1432,Neon Studios
1433,Blast! Entertainment Ltd
1434,Navarre Corp
1435,"Buka Entertainment, Targem Games"
1436,Ubisoft Porto Alegre
1437,SmartDog
1438,Iridon Interactive AB
1439,"Next Level Games, Nintendo"
1440,"Taito Corporation, 505 Games"
1441,One Man Band
1442,Carapace
1443,Big John Games
1444,PuzzleKings
1445,Dusenberry Martin Racing
1446,Liquid Dragon Studios
1447,Tigon
1448,Stainless Steel Studios
1449,Frame Studios Interactive
1450,Max Five
1451,SouthPeak Games
1452,VSTEP
1453,Flying Tiger Development
1454,Konami Software Shanghai
1455,Bright Future GmbH
1456,Hyper-Devbox
1457,SkyRiver Studios
1458,Avit-Niigata
1459,KUNST-STOFF
1460,Killaware
1461,"Torus Games, Little Orbit"
1462,F84 Games
1463,InterActive Vision Games
1464,SystemSoft
1465,G.Rev
1466,Fusionsphere Systems
1467,Opera House
1468,Foreign Media
1469,"Examu, Marvelous Inc."
1470,Gaslamp Games
1471,"Capcom, QLOC"
1472,Ubisoft Osaka
1473,Paprikari
1474,Snap Dragon Games
1475,7Raven Studios
1476,Wicked Witch Software
1477,Ascaron Entertainment GmbH
1478,"Alawar Entertainment, Inc, Alawar Entertainment"
1479,Sabarasa Entertainment
1480,"Atari, Slightly Mad Studios, Atari SA"
1481,Nival Interactive
1482,PopTop Software
1483,Best Way
1484,M4 Limited
1485,Hoget
1486,Naps Team
1487,XS Games
1488,"Alchemist, Inti Creates"
1489,Avalon Style
1490,Blue 52
1491,Dovetail Games
1492,Nightlight Studios
1493,EnjoyUp Games
1494,Tilted Mill
1495,"Reloaded Productions, Reloaded Games Inc."
1496,NoWay Studio
1497,PQube
1498,System Prisma
1499,CiRCLE
1500,"Volition Inc., CD Projekt Red Studio, CD Projekt, CD Projekt Localisation Centre"
1501,"Frozenbyte, Inc."
1502,InLight Entertainment
1503,Urban Games
1504,2D Boy
1505,"Fusionsphere Systems, Animation Arts"
1506,Gaia (Sony)
1507,Ironclad Games
1508,People Can Fly
1509,DreamCatcher Interactive
1510,Enlight Software
1511,Impressions Games
1512,Ravenscourt
1513,Ice-Pick Lodge
1514,BattleGoat Studios
1515,"Viva Media, Viva Media, LLC"
1516,"CyberPlanet Interactive Public Co., Ltd., Maximum Family Games"
1517,LSP
1518,Voxler
1519,Super Empire
1520,"Volition Inc., Reactor Zero"
1521,"Eidos Montreal, Nixxes Software"
1522,Sonnori
1523,Big Fish Games
1524,Magnin & Associates
1525,"Edmund McMillen, Florian Himsl"
1526,Tiwak
1527,Zuxxez
1528,Opus Studio
1529,"Gameinvest, Seed Studios, Lda"
1530,"Introversion, Double Eleven"
1531,Big Time Software
1532,Mentor Interactive
1533,Magicpot
1534,Nitro Games
1535,Confounding Factor
1536,Will
1537,Eagle Dynamics
1538,Black Sea Studios
1539,Headup Games
1540,"Engine Software, Re-Logic"
1541,"PM Studios Inc., Pentavision Entertainment"
1542,zSlide
1543,Tragnarion Studios
1544,"Big Blue Bubble Inc., Breakthrough New Media"
1545,Prograph
1546,Celeris
1547,NEC Interchannel
1548,"Vicious Cycle, Little Orbit"
1549,Panther Software
1550,"Number None Inc., Knockout Games"
1551,Team6 Game Studios
1552,Targem Games
1553,Still Alive Studios
1554,Twelve Games
1555,"Machineworks Northwest, WXP"
1556,Headlock
1557,"Activision, Behaviour Interactive"
1558,Arrowhead Game Studios
1559,Sandlot Games
1560,EC Interactive Games
1561,"Frontier Developments, Various"
1562,Crea-Tech
1563,Glyphic Entertainment
1564,Cyber Planet
1565,ZigZagIsland
1566,Paradox Interactive
1567,"Neon Studios, Kaiko"
1568,Gameness Art Software
1569,Dracue
1570,Mindware Studios
1571,EA Mythic
1572,"Atomic Planet Entertainment, Mud Duck Productions"
1573,Minds-Eye Productions
1574,SEK Ost
1575,Autumn Moon
1576,The Tangentlemen
1577,Multimedia Intelligence Transfer
1578,Cryptic Studios
1579,"Edge Entertainment, Anima Project"
1580,FAKT Software
1581,"1C, 1C Company"
1582,Boxed Dream
1583,Lead Pursuit
1584,"Punchline, Shirogumi"
1585,"The Digital Lounge, Dino Dini"
1586,Beluga Computer
1587,Kat Games
1588,Strawdog Studios
1589,InterServ International
1590,Trendy Entertainment
1591,"United Coders, Wizardry Engineering"
1592,Melesta
1593,Alternative Software
1594,"Mediascape, CUBETYPE"
1595,JoWooD Entertainment AG
1596,Master Creating
1597,Small Rockets
1598,Mana Comp. Soft.
1599,Phenomedia
1600,Touchdown Entertainment
1601,Turbine Inc.
1602,Playstos Entertainment
1603,Enigma Software Productions
1604,Nvizzio Creations
1605,"Unigine Corp, Russia"
1606,Flagship Studios
1607,ApolloSoft
1608,Ancient
1609,Zoo Digital Publishing
1610,"UFO Interactive, CyberPlanet Interactive Public Co., Ltd."
1611,Infogrames Sheffield
1612,1C:Ino-Co
1613,"Headup Games, Crenetic Studios"
1614,Tose Software
1615,Pterodon
1616,Strangelite
1617,Deep Red
1618,PAWS
1619,White Birds Productions
1620,Agetec
1621,Farsight Technologies
1622,Tranji
1623,Planet Interactive
1624,"Vicious Cycle, Infinite Interactive"
1625,"Telegames, Inc."
1626,"Sanuk Software Co., Ltd., Sanuk Games"
1627,GameCo
1628,Oberon Media
1629,Virtual Play Inc.
1630,"Yuke's, Yuke's Company of America"
1631,Funbox Media
1632,Babylon Software
1633,Metia Interactive
1634,Flying Lab Software
1635,Vanpool
1636,Squashy Software
1637,Hokus Pokus
1638,oeFun
1639,Tate Interactive
1640,ChaYoWo Games
1641,Boomzap
1642,"1C, Ino-Co, 1C Company"
1643,Logris Games
1644,Ino-Co
1645,Red 5 Software
1646,"CyberPlanet Interactive Public Co., Ltd."
1647,Elixir Studios
1648,The Odd Gentlemen
1649,Compulsion Games
1650,"Camouflaj, LLC"
1651,777 Studios
1652,Subterranean Games
1653,"Interworks Unlimited, Inc."
1654,Black Bean Games
1655,"DMA Design, Rockstar North"
1656,King of the Jungle
1657,"Spidersoft, Spiders"
1658,"1C, Various, 1C Company"
1659,"Tecmo, Graphic Research"
1660,TML-Studios
1661,"Battlefront.com, 1C, 1C Company"
1662,Blue Tea Games
1663,EA Phenomic
1664,Empty Clip Studios
1665,Next Wave Team
1666,Triple Eh? Ltd
1667,TDK Mediactive
1668,Headgate
1669,Coffee Stain Studios
1670,Societe Pollene
1671,Boston Animation
1672,React Games
1673,Papyrus
1674,Inferno Games
1675,Katauri Interactive
1676,"High Moon Studios, Mercenary Technologies"
1677,"Infinite Dreams, Paragon 5"
1678,Big Red Software
1679,Atomic Games
1680,Interchannel-Holon
